"reg1","vote16","meeting","moneyorg","protest","online","persuade","button","moneycand","argument","particip_none","particip_count","vote20jb","apppres7","frnpres7","immpres7","econpres7","econnow","finworry","confecon","hlthcare1","hlthcare2","experts","science","exphelp","excessive","socmed_1","socmed_2","socmed_3","socmed_4","socmed_5","socmed_6","socmed_7","socmed_8","socmed_9","twitter1","racegr","sex","educ","income","birthyr","covidpres7","healthcarepres7","covid1","covid2","mis_covid1","conf_covid1","mis_covid2","conf_covid2"
1,1,0,0,0,1,1,0,0,1,0,3,1,1,1,1,1,1,5,5,1,5,1,5,5,5,1,0,0,1,1,0,0,0,0,66,"White",1,6,23,1984,1,77,1,1,1,5,1,5
1,1,1,1,1,1,1,0,1,1,0,7,1,1,1,1,1,1,4,2,1,4,1,4,4,5,1,1,1,1,0,0,0,0,0,1,"White",1,5,16,1970,1,77,4,4,1,4,1,3
3,4,0,0,0,0,0,0,0,0,1,0,4,7,7,7,7,5,1,1,7,1,1,1,1,1,0,0,0,0,0,0,0,0,1,66,"Other",2,5,7,1909,7,77,5,5,2,1,2,1
1,2,0,0,0,0,0,0,0,0,1,0,2,3,3,2,3,3,2,2,2,2,3,4,3,3,0,0,0,0,0,0,0,0,1,66,"Black",1,3,16,1964,4,77,2,2,1,4,1,5
3,4,0,0,0,0,0,0,0,0,1,0,3,4,7,99,5,4,3,4,5,4,4,5,2,4,1,0,1,0,1,1,0,0,0,66,"White",1,3,11,2001,5,77,3,3,2,4,2,4
1,1,1,0,0,0,0,0,0,0,0,1,1,3,2,2,1,2,4,4,1,4,2,5,5,4,1,0,0,0,1,0,0,0,0,66,"White",1,2,1,1989,1,77,1,2,2,3,1,5
1,2,0,0,0,1,0,0,0,0,0,1,2,7,6,7,5,5,1,3,5,1,3,4,4,2,1,0,0,0,1,0,0,0,0,66,"White",2,8,15,1952,6,77,4,3,2,3,2,4
1,1,0,0,0,1,0,0,0,1,0,2,1,2,3,2,2,4,2,5,4,2,4,3,2,2,1,0,0,1,1,0,0,0,0,66,"White",2,2,4,1954,3,77,4,1,1,3,2,3
1,4,0,0,0,0,0,0,0,0,1,0,2,4,4,4,4,3,3,3,4,3,3,3,3,3,0,0,1,0,1,1,1,0,0,66,"Black",2,4,11,2001,4,77,3,3,1,3,2,3
1,1,0,0,0,0,0,0,0,0,1,0,1,1,4,4,4,5,3,3,4,5,2,1,1,3,1,0,0,0,0,0,0,0,0,66,"White",2,2,2,1948,1,77,4,3,1,5,1,5
1,2,0,0,0,0,0,0,0,0,1,0,2,7,7,7,7,5,3,4,4,5,3,4,3,4,1,1,1,1,1,1,1,0,0,1,"White",2,3,21,1985,7,77,1,2,1,3,2,3
1,1,1,0,0,1,0,0,0,1,0,3,1,3,3,1,2,4,3,4,7,3,4,4,3,4,1,1,1,0,1,1,1,0,0,1,"White",1,5,24,1996,4,77,1,1,1,3,2,4
2,1,0,0,0,0,0,0,0,0,1,0,2,2,2,3,2,2,3,1,1,2,2,4,3,3,1,1,1,0,1,0,0,0,0,5,"White",2,1,3,1954,1,77,3,3,2,4,2,3
1,1,0,0,0,0,0,0,0,0,1,0,1,2,2,2,2,5,4,5,7,2,5,2,4,3,1,1,0,1,1,0,0,0,0,6,"White",2,2,3,1955,2,77,1,1,2,3,2,4
1,1,0,0,0,0,0,0,0,0,1,0,1,2,2,1,2,1,2,2,7,2,2,3,2,2,1,0,0,0,0,0,0,0,0,66,"White",1,2,21,1957,2,77,4,2,1,3,2,2
1,2,1,1,1,1,1,1,1,1,0,8,2,7,7,7,6,5,5,5,2,5,4,2,3,4,1,1,1,0,0,1,0,1,0,3,"Hispanic",2,4,9,1989,7,77,2,1,2,2,2,4
1,4,0,0,0,0,0,0,0,0,1,0,2,7,7,6,6,4,2,3,1,3,5,5,5,3,1,0,0,0,0,0,0,0,0,66,"White",1,2,4,1953,7,77,1,3,2,3,2,5
1,2,0,0,0,0,0,0,0,0,1,0,3,7,4,4,4,4,1,2,4,4,3,3,3,4,1,0,0,0,0,0,0,0,0,66,"White",2,1,5,1968,4,77,2,3,2,1,2,2
1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,5,4,3,4,1,1,1,0,1,0,1,0,0,1,"White",1,6,22,1975,1,77,1,1,1,4,2,4
